NameID;Name_ZhT;IDCH;OrgSup;Institution;Type_1;Type_2;Type_2_Orig;Institution_Lev_2;Institution_Lev_3;Prov_Inst;City_Inst;Position;Level_Code;Level_New;StartPosYear;StartPosMonth;StartJob;Zi;BirthProv;BirthLoc;Gender;Age;Birthyear;Generation;Status
N04505;周進三;P25063;農林部第一級附屬機關主官及幕僚長;福建順昌墾區管理局;GOV;GOVL;GOV-A;;;福建;不明;局長;MM;Middle Management;1943;7;1943;亞屏;浙江;嵊縣;M;43;1900;4;C
N07311;安維泰;P25077;審計部;駐西北各鐵路局;GOV;GOVL;GOV-A;;;不明;不明;審計;AOS;Administrative and Office Staff;1942;1;1942;乾三;陝西;耀縣;M;48;1897;4;C
N07108;李根源;P25156;監察院第一級附屬機關主官及幕僚長;雲南貴州監察區;GOV;GOVL;GOV-A;;;雲南;不明;監察使;AOS;Administrative and Office Staff;1942;3;1942;印泉;雲南;騰衝;M;65;1880;2;C
N04500;杜竹銘;P25161;農林部第一級附屬機關主官及幕僚長;甘肅河西屯墾實驗管理局;GOV;GOVL;GOV-A;;;不明;不明;局長;MM;Middle Management;1942;7;1942;;山東;即墨;M;36;1909;5;C
N05349;林炳勳;P25164;司法行政部第一級附屬機關主官及幕僚長;福建高等法院;GOV;GOVL;GOV-A;;;福建;不明;首席檢察官;PTS;Professional and Technical Staff;1937;9;1937;仲立;福建;閩侯;M;65;1880;2;C
N06883;梁子青;P25167;銓敘部第一級附屬機關主官及幕僚長;豫陝冀晉魯皖銓敍處;GOV;GOVL;GOV-A;;;不明;不明;處長;MM;Middle Management;1940;7;1940;;河北;行唐;M;42;1903;4;C
N07330;楊劭清;P25171;審計部;陝甘區巡迴審計室;GOV;GOVL;GOV-A;;;不明;不明;科員;AOS;Administrative and Office Staff;1944;2;1944;;江蘇;鹽城;M;39;1906;4;C
N05337;楊浩;P25177;司法行政部第一級附屬機關主官及幕僚長;湖南高等法院;GOV;GOVL;GOV-A;;;湖南;不明;書記官長;SCS;Senior Civil Service;1936;2;1936;子延;湖南;長沙;M;53;1892;3;C
N07368;楊祥蔭;P25180;審計部第一級附屬機關主官及幕僚長;甘肅審計處;GOV;GOVL;GOV-A;;;甘肅;蘭州;處長;MM;Middle Management;1941;1;1941;勵三;陝西;長安;M;49;1896;3;C
N07367;湯志先;P25206;審計部第一級附屬機關主官及幕僚長;安徽審計處;GOV;GOVL;GOV-A;;;安徽;合肥;處長;MM;Middle Management;1939;;1939;直軒;安徽;宣城;M;46;1899;4;C
N07109;王燦;P25228;監察院第一級附屬機關主官及幕僚長;雲南貴州監察區;GOV;GOVL;GOV-A;;;雲南;不明;主任秘書;SCS;Senior Civil Service;1942;3;1942;惕山;雲南;昆明;M;63;1882;2;C
N06553;翁敬棠;P25250;最高法院;浙贛閩分庭;GOV;GOVL;GOV-A;;;福建;永安;庭長;SCS;Senior Civil Service;1932;1;1932;劍洲;福建;閩侯;M;58;1887;3;C
N07350;蔡屏藩;P25264;審計部第一級附屬機關主官及幕僚長;陝西審計處;GOV;GOVL;GOV-A;;;陝西;不明;處長;MM;Middle Management;1938;4;1938;疆澄;陝西;渭南;M;52;1893;3;C
N04484;谷延麻;P25290;農林部第一級附屬機關主官及幕僚長;海青獸疫防治大隊;GOV;GOVL;GOV-A;;;不明;不明;隊長;MM;Middle Management;1943;1;1943;;江蘇;淮安;M;46;1899;4;C
N05332;郗朝俊;P25303;司法行政部第一級附屬機關主官及幕僚長;湖北高等法院;GOV;GOVL;GOV-A;;;湖北;不明;院長;SEM;Senior Executive Management;1936;8;1936;勵勤;陝西;華陰;M;52;1893;3;C
N06554;郭秀如;P25305;最高法院;浙贛閩分庭;GOV;GOVL;GOV-A;;;福建;永安;推事;SCS;Senior Civil Service;1929;4;1929;嘯餘;福建;閩侯;M;57;1888;3;C
N05324;陳錫瑚;P25350;司法行政部第一級附屬機關主官及幕僚長;廣西高等法院;GOV;GOVL;GOV-A;;;廣西;桂林;首席檢察官;PTS;Professional and Technical Staff;1932;2;1932;著西;廣西;鬱林;M;49;1896;3;C
N05335;陳長簇;P25351;司法行政部第一級附屬機關主官及幕僚長;湖南高等法院;GOV;GOVL;GOV-A;;;湖南;不明;院長;SEM;Senior Executive Management;1935;12;1935;右鈞;湖南;平江;M;65;1880;2;C
N07110;高一涵;P25376;監察院第一級附屬機關主官及幕僚長;甘肅寧夏青海監察區;GOV;GOVL;GOV-A;;;不明;不明;監察使;AOS;Administrative and Office Staff;1940;8;1940;;安徽;六合;M;58;1887;3;C
N05345;黃元鼎;P25386;司法行政部第一級附屬機關主官及幕僚長;安徽高等法院;GOV;GOVL;GOV-A;;;安徽;合肥;書記官長;SCS;Senior Civil Service;1938;7;1938;虎岑;安徽;桐城;M;57;1888;3;C
N04472;黃希周;P25389;農林部第一級附屬機關主官及幕僚長;青衣江流域國有林區管理處;GOV;GOVL;GOV-A;;;不明;不明;主任;MM;Middle Management;1942;3;1942;;江蘇;溧陽;M;44;1901;4;C
N00005;居正;P0026;臨時政府;內務部;GOV;GOVC;GOV-C;;;;;次長;NL;National Leadership;;;;覺生;湖北;廣濟;M;69;1876;2;P
N00005;居正;P0027;;國民大會;GOV;GOVC;GOV-C;;;;;議員;EM;Executive Management;;;;覺生;湖北;廣濟;M;69;1876;2;P
N00005;居正;P0028;軍政府;內政部;GOV;GOVC;GOV-C;;;;;次長;NL;National Leadership;;;;覺生;湖北;廣濟;M;69;1876;2;P
N00005;居正;P0029;總統府;內務部;GOV;GOVC;GOV-C;;;;;總長;SEM;Senior Executive Management;;;;覺生;湖北;廣濟;M;69;1876;2;P
N00019;李烈鈞;P0113;軍政府;大元帥府;GOV;GOVC;GOV-C;;;;;參謀總長;EM;Executive Management;;;;協和;江西;武甯;M;63;1882;2;P
N00019;李烈鈞;P0114;國民政府;國民政府委員會;GOV;GOVC;GOV-C;;;;;常務委員;SEM;Senior Executive Management;;;;協和;江西;武甯;M;63;1882;2;P
N00019;李烈鈞;P0116;中國國民黨;中央監察委員會;GOV;GOVC;GOV-C;;;;;委員;MM;Middle Management;;;;協和;江西;武甯;M;63;1882;2;P
N00020;李文範;P0121;國民政府;國民政府委員會;GOV;GOVC;GOV-C;;;;;秘書長;SCS;Senior Civil Service;;;;君佩;廣東;南海;M;61;1884;2;P
N00020;李文範;P0122;國民政府;立法院;GOV;GOVC;GOV-C;;;;;秘書長;SCS;Senior Civil Service;;;;君佩;廣東;南海;M;61;1884;2;P
N00020;李文範;P0123;國民政府;內政部;GOV;GOVC;GOV-C;;;;;部長;NL;National Leadership;;;;君佩;廣東;南海;M;61;1884;2;P
N00030;周仲良;P0172;軍政府;大元帥府;GOV;GOVC;GOV-C;;;;;秘書;AOS;Administrative and Office Staff;;;;;貴州;黎平;M;57;1888;3;P
N00030;周仲良;P0173;軍政府;總統府;GOV;GOVC;GOV-C;;;;;秘書;AOS;Administrative and Office Staff;;;;;貴州;黎平;M;57;1888;3;P
N00030;周仲良;P0174;軍政府;大元帥行營;GOV;GOVC;GOV-C;;;;;機要秘書;MM;Middle Management;;;;;貴州;黎平;M;57;1888;3;P
N00035;但燾;P0194;北洋政府;大總統府;GOV;GOVC;GOV-C;;;;;秘書;AOS;Administrative and Office Staff;;;;植之;湖北;蒲圻;M;63;1881;2;P
N00035;但燾;P0195;北洋政府;大總統府;GOV;GOVC;GOV-C;公報局;;;;局長;MM;Middle Management;;;;植之;湖北;蒲圻;M;63;1881;2;P
N00035;但燾;P0196;軍政府;大元帥府;GOV;GOVC;GOV-C;;;;;秘書長;SCS;Senior Civil Service;;;;植之;湖北;蒲圻;M;63;1881;2;P
N00035;但燾;P0197;軍政府;參議院;GOV;GOVC;GOV-C;;;;;秘書長;SCS;Senior Civil Service;;;;植之;湖北;蒲圻;M;63;1881;2;P
N00035;但燾;P0198;軍政府;憲法會議;GOV;GOVC;GOV-C;;;;;秘書長;SCS;Senior Civil Service;;;;植之;湖北;蒲圻;M;63;1881;2;P
N00063;曾省三;P0288;國民政府;秘書處;GOV;GOVC;GOV-C;;;;;處員;AOS;Administrative and Office Staff;;;;楚湘;湖北;應城;M;57;1888;3;P
N00063;曾省三;P0289;國民政府;文官處;GOV;GOVC;GOV-C;;;;;科員;AOS;Administrative and Office Staff;;;;楚湘;湖北;應城;M;57;1888;3;P
N00085;劉毅夫;P0340;國民政府;文官處;GOV;GOVC;GOV-C;;;;;科員;AOS;Administrative and Office Staff;;;;;湖南;常德;M;52;1893;3;P
N00085;劉毅夫;P0341;國民政府;政務官懲戒委員會;GOV;GOVC;GOV-C;;;;;主任書記員;AOS;Administrative and Office Staff;;;;;湖南;常德;M;52;1893;3;P
