NameID,Name_ZhT,Birthprov,BirthLoc,Univ_ZhT,Institution
N06691,張忠道,安徽,六安,日本大學,考選委員會
N00007,戴傅賢,浙江,吳興,日本大學,國民政府委員會
N00063,曾省三,湖北,應城,日本大學,國民政府文官處
N06597,李丹亭,湖北,石首,日本大學,書記廳
N04780,李卓之,四川,開縣,日本大學,勞動局
N05145,李盛鳴,湖北,蘄春,日本大學,秘書處
N05349,林炳勳,福建,閩侯,日本大學,福建高等法院
N05422,武和軒,山西,文水,日本大學,蒙藏委員會
N01068,段為,遼寧,遼縣,日本大學,外交部亞東司
N06400,王用賓,山西,猗氏,日本大學,中央公務員懲戒委員會
N06400,王用賓,山西,猗氏,日本大學,法規研究委員會
N04552,王開元,福建,閩侯,日本大學,總務司第一科
N06409,管曙東,安徽,壽縣,日本大學,法規研究委員會
N03064,蘇鳳翔,湖北,武昌,日本大學,商業司
N02865,賀俊人,福建,惠安,日本大學,公債司總務處
N05244,賀德勳,湖北,沔陽,日本大學,監獄司
N04840,邵本恆,浙江,衢縣,日本大學,糧食部
N05315,鄭烈,福建,福州,日本大學,最高法院檢察署
N04538,鈕長耀,江蘇,上海,日本大學,社會部
N02909,陳匪石,江蘇,南京,日本大學,經濟部
N05155,陳士誠,福建,霞浦,日本大學,秘書處
N05946,高梅芳,江蘇,無錫,日本大學,會計處
N06183,黃懺華,廣東,順德,日本大學,秘書室
N06312,何昂,福建,閩侯,早稻田大學,軍事委員會
N01721,况厚豐,四川,達縣,早稻田大學,稅務署
N01159,劉博崑,遼寧,安康,早稻田大學,外交部情報司
N05237,劉子昂,江西,宜豐,早稻田大學,刑事司
N06607,劉武,湖南,湘潭,早稻田大學,中央公務員懲戒委員會
N00085,劉毅夫,湖南,常德,早稻田大學,國民政府文官處
N00030,周仲良,貴州,黎平,早稻田大學,國民政府文官處
N01076,孫秉乾,吉林,榆樹,早稻田大學,外交部亞東司
N05565,孫荷曾,廣東,NA,早稻田大學,僑民教育處
N03523,張希文,河北,棗強,早稻田大學,國民教育輔導研究委員會
N05612,張掄元,浙江,吳興,早稻田大學,振濟委員會第一處
N03765,張毓驊,江蘇,崇明,早稻田大學,財務司第六科
N00599,張清廉,河北,正定,早稻田大學,國民政府國史館籌備委員會
N02439,張貽蘭,福建,NA,早稻田大學,總務司
N02205,彭伯興,安徽,廣德,早稻田大學,專賣事業司
N02919,徐梗生,江西,進賢,早稻田大學,經濟部
N01093,徐源達,浙江,德清,早稻田大學,外交部亞東司
N06462,徐造鳳,湖北,孝感,早稻田大學,刑事第三庭
N00646,方叔章,湖南,長沙,早稻田大學,行政院
N01738,曾遜彜,江西,吉安,早稻田大學,稅務署
N06891,朱希祖,浙江,海鹽,早稻田大學,考選委員會
N06413,梅光羲,江西,南昌,早稻田大學,法規研究委員會
N07196,楊憲生,河南,偃師,早稻田大學,審計部第三廳
N06585,楊玉清,湖北,孝感,早稻田大學,行政法院第一庭
N07368,楊祥蔭,陝西,長安,早稻田大學,甘肅審計處
N03600,汪東,江蘇,吳縣,早稻田大學,國立禮樂館
N03600,汪東,江蘇,吳縣,早稻田大學,監察院
N02595,沈開運,浙江,慈谿,早稻田大學,總務司
N07367,湯志先,安徽,宣城,早稻田大學,安徽審計處
N03152,湯鶴逸,胡南,長沙,早稻田大學,公礦調整處
N07065,漆運鈞,貴州,貴筑,早稻田大學,文書科
N04806,王克,江蘇,宜興,早稻田大學,重慶社會服務處
N05169,王建今,江蘇,鹽城,早稻田大學,參事處
N00238,祝撰望,河南,固始,早稻田大學,國民政府主計處
N04882,簡泰梁,四川,富順,早稻田大學,秘書處
N02098,羅述禕,廣東,NA,早稻田大學,鹽政司
N03718,胡升鴻,浙江,建德,早稻田大學,交通部第四組
N05602,胡邁,江蘇,丹陽,早稻田大學,振濟委員會
N06403,范叔衡,湖北,武昌,早稻田大學,法規研究委員會
N01078,葉啟仁,廣東,梅縣,早稻田大學,外交部亞東司
N03085,董贊堯,江蘇,高郵,早稻田大學,企業司
N07156,計萬全,湖北,房縣,早稻田大學,審計部第二廳
N06254,譚平,廣東,中山,早稻田大學,編譯處
N07190,譚雲峯,廣東,台三,早稻田大學,審計部第二廳
N06172,連聲海,廣東,南海,早稻田大學,立法院
N06162,鄒善群,廣東,大埔,早稻田大學,立法院
N02679,金孔章,安徽,銅城,早稻田大學,財政研究委員會
N02928,陳伯康,廣東,潮安,早稻田大學,經濟部
N02311,陳威,江西,黎川,早稻田大學,振濟委員會
N02311,陳威,江西,黎川,早稻田大學,總務司
N06937,陳彰,廣東,大埔,早稻田大學,考選委員會第三處
N04122,陳有豐,江蘇,嘉定,早稻田大學,設計考核委員會
N02406,陳維羆,福建,同安,早稻田大學,總務司
N06270,陳震異,廣東,普寧,早稻田大學,編譯處
N06302,陶善堅,浙江,NA,早稻田大學,經濟委員會
N02624,馬吉璋,山東,長山,早稻田大學,總務司
N05398,馬鶴天,山西,芮城,早稻田大學,蒙藏委員會
N04519,黃伯度,安徽,舒城,早稻田大學,社會部
N01167,黃朝琴,福建,南安,早稻田大學,外交部情報司
N03651,于定,江蘇,金壇,明治大學,交通部
N02188,仇預,江蘇,南京,明治大學,專賣事業司
N03592,傅隸樸,湖北,天門,明治大學,僑民教育設計委員會
N01044,凌曼壽,浙江,吳興,明治大學,外交部參事廳
N02418,劉培基,湖南,長沙,明治大學,總務司
N06365,劉子芬,廣東,梅縣,明治大學,參事處
N02655,劉崐輝,四川,江津,明治大學,總務司
N00858,劉燧昌,貴州,興義,明治大學,內政部第四組
N04864,劉竹賢,四川,敍永,明治大學,糧食部
N01908,包際春,浙江,春順,明治大學,緝私署
N01872,吳力生,浙江,松陽,明治大學,緝私署
N06170,呂復,河北,北京,明治大學,立法院
N03645,周厚鈞,江蘇,江都,明治大學,交通部
N05555,周演明,廣東,順德,明治大學,僑務管理處
N00662,孫希文,安徽,懷遠,明治大學,法規委員會
N00662,孫希文,安徽,懷遠,明治大學,行政院
N03897,孫靖圻,江蘇,無錫,明治大學,總務司
N01075,宿夢公,吉林,珠河,明治大學,外交部亞東司
N00962,張國鈞,安徽,桐城,明治大學,內政部營建司
N00962,張國鈞,安徽,桐城,明治大學,院長辦公室
N01278,張念萱,江西,武寧,明治大學,人事處第二科
N01074,張振漢,福建,莆田,明治大學,外交部亞東司
N05612,張掄元,浙江,吳興,明治大學,振濟委員會第一處
N06465,張燿,陝西,長安,明治大學,刑事第四庭
N06884,彭漢懷,湖南,長沙,明治大學,銓敘部
N03299,徐伯璞,山東,肥城,明治大學,社會教育司
N03896,曹暉甫,湖南,長沙,明治大學,總務司
