NameID;Name_ZhT;Birthprov;BirthLoc;Univ_ZhT
N00030;周仲良;貴州;黎平;早稻田大學
N01076;孫秉乾;吉林;榆樹;早稻田大學
N05565;孫荷曾;廣東;;早稻田大學
N03523;張希文;河北;棗強;早稻田大學
N05612;張掄元;浙江;吳興;早稻田大學
N03765;張毓驊;江蘇;崇明;早稻田大學
N00599;張清廉;河北;正定;早稻田大學
N02439;張貽蘭;福建;;早稻田大學
N02205;彭伯興;安徽;廣德;早稻田大學
N02919;徐梗生;江西;進賢;早稻田大學
N01093;徐源達;浙江;德清;早稻田大學
N06462;徐造鳳;湖北;孝感;早稻田大學
N00646;方叔章;湖南;長沙;早稻田大學
N01738;曾遜彜;江西;吉安;早稻田大學
N06891;朱希祖;浙江;海鹽;早稻田大學
N06413;梅光羲;江西;南昌;早稻田大學
N07196;楊憲生;河南;偃師;早稻田大學
N06585;楊玉清;湖北;孝感;早稻田大學
N07368;楊祥蔭;陝西;長安;早稻田大學
N03600;汪東;江蘇;吳縣;早稻田大學
N02595;沈開運;浙江;慈谿;早稻田大學
N07367;湯志先;安徽;宣城;早稻田大學
N03152;湯鶴逸;胡南;長沙;早稻田大學
N07065;漆運鈞;貴州;貴筑;早稻田大學
N04806;王克;江蘇;宜興;早稻田大學
N05169;王建今;江蘇;鹽城;早稻田大學
N00238;祝撰望;河南;固始;早稻田大學
N04882;簡泰梁;四川;富順;早稻田大學
N02098;羅述禕;廣東;;早稻田大學
N03718;胡升鴻;浙江;建德;早稻田大學
N05602;胡邁;江蘇;丹陽;早稻田大學
N06403;范叔衡;湖北;武昌;早稻田大學
N01078;葉啟仁;廣東;梅縣;早稻田大學
N03085;董贊堯;江蘇;高郵;早稻田大學
N07156;計萬全;湖北;房縣;早稻田大學
N06254;譚平;廣東;中山;早稻田大學
N07190;譚雲峯;廣東;台三;早稻田大學
N06172;連聲海;廣東;南海;早稻田大學
N06162;鄒善群;廣東;大埔;早稻田大學
N02679;金孔章;安徽;銅城;早稻田大學
N02928;陳伯康;廣東;潮安;早稻田大學
N02311;陳威;江西;黎川;早稻田大學
N06937;陳彰;廣東;大埔;早稻田大學
N04122;陳有豐;江蘇;嘉定;早稻田大學
N02406;陳維羆;福建;同安;早稻田大學
N06270;陳震異;廣東;普寧;早稻田大學
N06302;陶善堅;浙江;;早稻田大學
N02624;馬吉璋;山東;長山;早稻田大學
N05398;馬鶴天;山西;芮城;早稻田大學
N04519;黃伯度;安徽;舒城;早稻田大學
N01167;黃朝琴;福建;南安;早稻田大學
N03651;于定;江蘇;金壇;明治大學
N02188;仇預;江蘇;南京;明治大學
N03592;傅隸樸;湖北;天門;明治大學
N01044;凌曼壽;浙江;吳興;明治大學
N02418;劉培基;湖南;長沙;明治大學
N06365;劉子芬;廣東;梅縣;明治大學
N02655;劉崐輝;四川;江津;明治大學
N00858;劉燧昌;貴州;興義;明治大學
N04864;劉竹賢;四川;敍永;明治大學
N01908;包際春;浙江;春順;明治大學
N01872;吳力生;浙江;松陽;明治大學
N06170;呂復;河北;北京;明治大學
N03645;周厚鈞;江蘇;江都;明治大學
N05555;周演明;廣東;順德;明治大學
N00662;孫希文;安徽;懷遠;明治大學
N03897;孫靖圻;江蘇;無錫;明治大學
N01075;宿夢公;吉林;珠河;明治大學
N00962;張國鈞;安徽;桐城;明治大學
N01278;張念萱;江西;武寧;明治大學
N01074;張振漢;福建;莆田;明治大學
N05612;張掄元;浙江;吳興;明治大學
N06465;張燿;陝西;長安;明治大學
N06884;彭漢懷;湖南;長沙;明治大學
N03299;徐伯璞;山東;肥城;明治大學
N03896;曹暉甫;湖南;長沙;明治大學
N06036;朱劍農;安徽;旌德;明治大學
N06379;朱幹青;湖北;廣濟;明治大學
N01062;朱若華;四川;宜賓;明治大學
N02006;朱鴻基;浙江;;明治大學
N05630;李乾;安徽;壽縣;明治大學
N03140;李邦龢;江蘇;;明治大學
N06883;梁子青;河北;行唐;明治大學
N01384;楊中一;安徽;舒城;明治大學
N07236;楊宜湛;四川;渠縣;明治大學
N05337;楊浩;湖南;長沙;明治大學
N06405;楊纓甫;湖南;瀏陽;明治大學
N00897;楊際唐;貴州;劍河;明治大學
N00854;楊鴻春;雲南;大理;明治大學
N01608;段幹華;安徽;合肥;明治大學
N06249;沈陳善;浙江;吳興;明治大學
N07109;王燦;雲南;昆明;明治大學
N06582;王芝庭;陝西;鄠縣;明治大學
N06606;畢鼎琛;湖北;浠水;明治大學
N01189;矯漢治;山東;牟平;明治大學
N00921;萬耀南;江西;新建;明治大學
N07128;胡希瑗;陝西;寧強;明治大學
N00176;葛鵬;江蘇;嘉定;明治大學
N01045;董季安;四川;重慶;明治大學
N07350;蔡屏藩;陝西;渭南;明治大學
N00006;覃振;湖南;桃園;明治大學
N06123;趙琛;浙江;東陽;明治大學
N06775;趙耕安;山西;忻縣;明治大學
N05423;趙錫昌;雲南;華坪;明治大學
N06410;邱懷瑾;四川;;明治大學
N00657;鄧介松;湖南;湘鄉;明治大學
N05370;鄧哲熙;河北;大城;明治大學
N01069;鄭壽恩;廣東;中山;明治大學
N04839;鄭延卓;湖南;長沙;明治大學
N07235;鄺植三;廣東;台山;明治大學
N03461;錢雲階;湖北;漢陽;明治大學
N02916;陳廷煦;江蘇;嘉定;明治大學
N05590;陳訪先;安徽;東流;明治大學
N05324;陳錫瑚;廣西;鬱林;明治大學
N06646;饒炎;四川;成都;明治大學
N07110;高一涵;安徽;六合;明治大學
N01630;高奇;山東;濟寧;明治大學
N06331;黃介民;江西;清江;明治大學
N01383;吳文叔;安徽;合肥;東亞學校
N04669;劉鳳儀;廣東;梅縣;東京商科大學
N01385;張白衣;江蘇;嘉定;東京商科大學
N00180;楊汝梅;湖北;隨縣;東京商科大學
N00227;鍾愷;湖南;常德;東京商科大學
N04512;丁穎;廣東;茂名;東京大學
N06736;何基鴻;河北;藁縣;東京大學
N06460;何蔚;廣東;興寧;東京大學
N04336;余先亮;四川;威遠;東京大學
N00369;余又蓀;四川;涪陵;東京大學
N01686;劉允承;江蘇;武進;東京大學
N06182;史太璞;安徽;桐城;東京大學
N06639;史尚寬;安徽;桐城;東京大學
N05365;周予牧;河北;灤縣;東京大學
N03464;周彧文;吉林;雙城;東京大學
N04505;周進三;浙江;嵊縣;東京大學
N03294;周雲裳;廣東;南海;東京大學
N02359;姜善甫;四川;成都;東京大學
N05138;康寶志;陝西;城固;東京大學
N05681;張啟凡;廣東;南海;東京大學
N00827;徐蔚南;江蘇;吳江;東京大學
N03460;方治;安徽;桐城;東京大學
N06034;朱章寶;浙江;金華;東京大學
N04492;李兆煇;福建;長汀;東京大學
N07271;李卓才;廣東;台山;東京大學
N04279;林祜光;福建;閩侯;東京大學
N01067;楊覺勇;河北;清苑;東京大學
N01059;楊雲竹;河北;蠡縣;東京大學
N04437;沈伯倫;江蘇;崑山;東京大學
N04757;燕永治;湖北;黃陂;東京大學
N03694;王輔宜;江西;東鄉;東京大學
N07009;白鵬飛;廣西;桂林;東京大學
N04343;石樺;江蘇;上海;東京大學
N06096;羅鼎;湖南;攸縣;東京大學
N06648;范揚;浙江;金華;東京大學
N02276;蕭兆綱;廣東;;東京大學
N01982;薛溱舲;江蘇;無錫;東京大學
N06727;薩孟武;福建;福州;東京大學
N04426;藍夢九;四川;蓬安;東京大學
N04484;谷延麻;江蘇;淮安;東京大學
N02672;郭桓;遼寧;錦西;東京大學
N01693;鄒延年;廣東;大埔;東京大學
N00861;鄧鴻藩;雲南;鹽津;東京大學
N02943;鄭達生;江西;高安;東京大學
N06684;陳大齊;浙江;海鹽;東京大學
N04459;魯昌文;湖北;鄂城;東京大學
N04710;黃懋仁;江西;萍鄉;東京大學
N04120;龔學遂;江西;金溪;東京大學
N07330;楊劭清;江蘇;鹽城;東京專修大學
N00348;馮百平;河南;商城;東京專修大學
N01264;吳玉良;河北;天津;東京工業大學
N02585;周獻琛;江西;進賢;東京工業大學
N02948;熊傅飛;江蘇;江寧;東京工業專門學校
N05541;丁衍鏞;廣東;茂名;東京美術專科學校
N05496;陳樹人;廣東;番禺;東京美術專科學校
N05242;王元增;江蘇;嘉定;東京警監學校
N04319;張遠峯;廣東;開平;東京農業大學
N04500;杜竹銘;山東;即墨;東京農業大學
N03079;顏澤韞;廣東;連平;東京農業大學
N07311;安維泰;陝西;耀縣;東京高等工業學校
N07126;汪康培;安徽;婺源;東京高等工業學校
N05140;程懋型;江西;新建;東京高等工業學校
N03331;陳宗英;福建;閩侯;東京高等工業學校
N07208;陳祚蔭;陝西;山陽;東京高等工業學校
N00367;劉次簫;山東;安邱;東京高等師范學校
N03431;張邦華;浙江;海寧;東京高等師范學校
N06901;許壽裳;浙江;紹興;東京高等師范學校
N03659;陳綬蓀;湖南;澧縣;東京高等師范學校
N00508;陶孟和;河北;天津;東京高等師范學校
N03765a;張毓驊a;江蘇;太倉;東京高等蠶絲學校
N07238;吳紹鑑;廣東;廉江;東北大學
N00544;蘇步青;浙江;平陽;東北大學
N00545;陳建功;浙江;紹興;東北大學
N01726;馬雲亭;山東;泰安;東北大學
N00017;熊克武;四川;井研;東斌學校
N06107;黃一歐;湖南;長沙;東斌學校
N05345;黃元鼎;安徽;桐城;東洋大學
N02949;傅銘九;浙江;東陽;桐生高等工業學校
N05427;任翿和;湖北;武昌;法政大學
N04944;何孝純;福建;閩侯;法政大學
N06391;何超;福建;閩侯;法政大學
N00666;吳子雋;湖南;湘潭;法政大學
N06644;吳浴文;安徽;桐城;法政大學
N00005;居正;湖北;廣濟;法政大學
N00973;張瑞光;雲南;文山;法政大學
N06580;張知本;湖北;江陵;法政大學
N06989;曾道;四川;金堂;法政大學
N07257;李佩珠;廣東;番禺;法政大學
N00020;李文範;廣東;南海;法政大學
N06431;李昀;廣西;蒼梧;法政大學
N05606;林嘯谷;安徽;至德;法政大學
N06418;林祖繩;福建;閩侯;法政大學
N00157;沈維鏗;福建;閩侯;法政大學
N02996;湯建中;浙江;紹興;法政大學
N06160;王培仁;安徽;六安;法政大學
N06364;王齡希;湖北;黃岡;法政大學
N06553;翁敬棠;福建;閩侯;法政大學
N06098;蔡瑄;福建;莆田;法政大學
N07167;薛壤三;廣東;新會;法政大學
N02140;薛登道;山西;達五;法政大學
N03668;許溯伊;江蘇;無錫;法政大學
N06434;諸葛魯;浙江;蘭溪;法政大學
N06554;郭秀如;福建;閩侯;法政大學
N01657;鄭文烈;山東;荷澤;法政大學
N05335;陳長簇;湖南;平江;法政大學
N06609;陶冶公;浙江;紹興;法政大學
N06141;陸亞夫;雲南;鲁甸;法政大學
N06646;饒炎;四川;成都;法政大學
N05595;馬文車;浙江;東陽;法政大學
N06090;黃右昌;湖南;臨澧;法政大學
N05479;鮑軻;河北;完縣;法文學部
N00121;呂超;四川;宜賓;浩然廬軍事研究所
N02827;沈鴻烈;湖北;天門;海軍學校
N04506;曾廣欽;河南;經扶;海軍水電學校
N01869;宋式善;湖南;長沙;海軍炮術水雷專校
N04506;曾廣欽;河南;經扶;海軍炮術水雷專校
N04506;曾廣欽;河南;經扶;海軍航海学校
N01982;薛溱舲;江蘇;無錫;研數學館
N06710;譚翼珪;江蘇;松江;神州法政專門學校
N05729;楊志春;浙江;奉化;福岡工業專門學校
N01996;姚寶賢;江蘇;江寧;立教大學
N05496;陳樹人;廣東;番禺;立教大學
N01716;陳燦章;廣東;台山;立教大學
N03061;李文斌;江蘇;南京;經濟講習會通訊講習
N01027;李士珍;浙江;甯海;警官高等學校
N06609;陶冶公;浙江;紹興;長崎醫科大學
N02882;曹樹藩;江西;新建;長崎高等商業學校
N00681;陳陛章;河北;安新;陸地測量學校
N06740;吳思豫;浙江;嘉興;陸軍士官學校
N05555;周演明;廣東;順德;陸軍士官學校
N02816;孔庚;湖北;浠水;陸軍士官學校
N05711;張群;四川;華陽;陸軍士官學校
N07108;李根源;雲南;騰衝;陸軍士官學校
N00019;李烈鈞;江西;武甯;陸軍士官學校
N00131;王烈;雲南;祥雲;陸軍士官學校
N00014;閻錫山;山西;五台;陸軍士官學校
N00179;陳其采;浙江;吳興;陸軍士官學校
N06142;馬曉軍;廣西;容縣;陸軍士官學校
N00163;屠景曾;浙江;嘉興;體育會體操學校
N04509;雷男;湖南;永順;鹿兒島高等農業學校
N04472;黃希周;江蘇;溧陽;鹿兒島高等農業學校
